"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","4291933","37618003","Chronic hypertension complicating AND/OR reason for care during pregnancy","Disorder","Standard","01/30/2002","12/30/2099","24,210","24,210","5,310","5,310","Condition","SNOMED",""
"","4080325","24042004","Chronic hypertension complicating AND/OR reason for care during puerperium","Disorder","Standard","01/30/2002","12/30/2099","250","250","150","150","Condition","SNOMED",""
"","443700","15938005","Eclampsia","Disorder","Standard","01/30/2002","12/30/2099","29,190","173,390","15,340","95,080","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4289142","69909000","Eclampsia added to pre-existing hypertension","Disorder","Standard","01/30/2002","12/30/2099","10","10","0","0","Condition","SNOMED",""
"","4034096","237283007","Eclampsia in labor","Disorder","Standard","01/30/2002","12/30/2099","14,860","14,860","8,220","8,220","Condition","SNOMED",""
"","137613","198992004","Eclampsia in pregnancy","Disorder","Standard","01/30/2002","12/30/2099","38,130","38,130","22,400","22,400","Condition","SNOMED",""
"","4116344","303063000","Eclampsia in puerperium","Disorder","Standard","01/30/2002","12/30/2099","71,820","74,670","37,550","38,960","Condition","SNOMED",""
"","4058536","198993009","Eclampsia with postnatal complication","Disorder","Standard","01/30/2002","12/30/2099","10","10","10","10","Condition","SNOMED",""
"","45757119","10752641000119102","Eclampsia with pre-existing hypertension in childbirth","Disorder","Standard","07/30/2014","12/30/2099","0","0","0","0","Condition","SNOMED",""
"","1340440","OMOP5166095","Exacerbation of pre-eclampsia","Disorder","Standard","05/05/2022","12/30/2099","0","0","0","0","Condition","OMOP Extension",""
"","4316372","95605009","HELLP syndrome","Disorder","Standard","01/30/2002","12/30/2099","126,070","126,070","47,030","47,030","Condition","SNOMED",""
"","4034095","237282002","Impending eclampsia","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED",""
"","314090","41114007","Mild pre-eclampsia","Disorder","Standard","01/30/2002","12/30/2099","4,140","4,140","2,330","2,330","Condition","SNOMED",""
"","4034094","237281009","Moderate proteinuric hypertension of pregnancy","Disorder","Standard","01/30/2002","12/30/2099","200","200","100","100","Condition","SNOMED",""
"","4146627","307632004","Non-proteinuric hypertension of pregnancy","Disorder","Standard","01/30/2002","12/30/2099","520","1,974,030","310","935,630","Condition","SNOMED",""
"","37169699","16740451000119109","Postpartum hemolysis-elevated liver enzymes-low platelet count syndrome","Disorder","Standard","07/30/2023","12/30/2099","0","0","0","0","Condition","SNOMED",""
"","35622939","765182005","Postpartum pre-eclampsia","Disorder","Standard","07/30/2018","12/30/2099","6,840","6,840","3,860","3,860","Condition","SNOMED",""
"","45757788","40521000119100","Postpartum pregnancy-induced hypertension","Disorder","Standard","07/30/2014","12/30/2099","111,210","111,210","68,100","68,100","Condition","SNOMED",""
"","439393","398254007","Pre-eclampsia","Disorder","Standard","07/30/2003","12/30/2099","3,109,500","5,115,330","1,255,430","2,105,160","Condition","SNOMED",""
"","4283352","67359005","Pre-eclampsia added to pre-existing hypertension","Disorder","Standard","01/30/2002","12/30/2099","5,040","5,040","2,540","2,540","Condition","SNOMED",""
"","141084","198997005","Pre-eclampsia or eclampsia with pre-existing hypertension","Disorder","Standard","01/30/2002","12/30/2099","513,410","726,210","176,300","271,520","Condition","SNOMED",""
"","4062550","199003007","Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication","Disorder","Standard","01/30/2002","12/30/2099","110","110","80","80","Condition","SNOMED",""
"","4167493","48194001","Pregnancy-induced hypertension","Disorder","Standard","01/30/2002","12/30/2099","3,287,260","11,288,060","1,232,190","4,635,790","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44784483","698638005","Pregnancy induced hypertension with pulmonary edema","Disorder","Standard","01/30/2014","12/30/2099","0","0","0","0","Condition","SNOMED",""
"","433536","46764007","Severe pre-eclampsia","Disorder","Standard","01/30/2002","12/30/2099","1,231,680","1,989,810","466,490","841,000","Condition","SNOMED",""
"","4057976","198986005","Severe pre-eclampsia with postnatal complication","Disorder","Standard","01/30/2002","12/30/2099","47,260","47,260","22,750","22,750","Condition","SNOMED",""
"","441922","237279007","Transient hypertension of pregnancy","Disorder","Standard","01/30/2002","12/30/2099","1,501,190","1,973,510","595,630","935,320","Condition","SNOMED",""
"","4062906","198968007","Transient hypertension of pregnancy with postnatal complication","Disorder","Standard","01/30/2002","12/30/2099","70","70","60","60","Condition","SNOMED",""
