"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","36715571","721283000","Acidosis due to type 1 diabetes mellitus","Disorder","Standard","01/30/2017","12/30/2099","200","3,435,992","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","45769891","87471000119106","Ankle ulcer due to type 1 diabetes mellitus","Disorder","Standard","01/30/2015","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","37016767","712882000","Autonomic neuropathy due to type 1 diabetes mellitus","Disorder","Standard","01/30/2016","12/30/2099","519,639","522,373","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of nervous system due to type 1 diabetes mellitusDisorder due to type 1 diabetes mellitus'"">2"
"","609098","16745411000119104","Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","603320","16697521000119104","Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","609107","16746661000119106","Bilateral nonproliferative retinopathy of eyes due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","609120","16749781000119101","Bilateral proliferative retinopathy of eyes due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","609111","16747101000119101","Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","45763585","60991000119100","Blindness due to type 1 diabetes mellitus","Disorder","Standard","01/30/2015","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
"","4225656","421920002","Cataract due to diabetes mellitus type 1","Disorder","Standard","07/30/2006","12/30/2099","45,183","45,183","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 1 diabetes mellitus'"">1"
