"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","604591","1003380001","6q16 microdeletion syndrome","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4271317","62999006","Adiposogenital dystrophy","Disorder","Standard","01/30/2002","12/30/2099","20","20","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4171972","296526005","Adult-onset obesity","Disorder","Standard","01/30/2002","12/30/2099","3,830","3,830","2,140","2,140","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4270189","63702009","Alstrom syndrome","Disorder","Standard","01/30/2002","12/30/2099","100","100","20","20","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4079899","238132000","Android obesity","Disorder","Standard","01/30/2002","12/30/2099","10","10","10","10","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4235799","360566006","Buffalo obesity","Disorder","Standard","01/30/2002","12/30/2099","90","90","60","60","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4087487","248311001","Central obesity","Disorder","Standard","01/30/2002","12/30/2099","7,780","7,810","3,640","3,670","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","40481140","444862003","Childhood obesity","Disorder","Standard","07/30/2010","12/30/2099","1,863,340","1,863,360","1,133,300","1,133,300","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","36713437","717761005","Choroideremia with deafness and obesity syndrome","Disorder","Standard","01/30/2017","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","36678790","776204008","Colobomatous microphthalmia, obesity, hypogenitalism, intellectual disability syndrome","Disorder","Standard","01/30/2019","12/30/2099","20","20","20","20","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","45763687","700150001","Congenital leptin deficiency","Disorder","Standard","07/30/2014","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4097929","292464007","Constitutional obesity","Disorder","Standard","01/30/2002","12/30/2099","4,840","4,840","920","920","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4097996","190965006","Drug-induced obesity","Disorder","Standard","01/30/2002","12/30/2099","259,340","259,340","132,220","132,220","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
"","4182506","297500005","Endogenous obesity","Disorder","Standard","01/30/2002","12/30/2099","380","3,540","240","1,150","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obesity'"">1"
