"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","4291933","37618003","Chronic hypertension complicating AND/OR reason for care during pregnancy","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","4080325","24042004","Chronic hypertension complicating AND/OR reason for care during puerperium","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","1340440","OMOP5166095","Exacerbation of pre-eclampsia","Disorder","Standard","05/05/2022","12/30/2099","0","0","0","0","Condition","OMOP Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertension'"">2"
"","4316372","95605009","HELLP syndrome","Disorder","Standard","01/30/2002","12/30/2099","716","716","371","371","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertension'"">2"
"","4034095","237282002","Impending eclampsia","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","314090","41114007","Mild pre-eclampsia","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertension'"">2"
"","4034094","237281009","Moderate proteinuric hypertension of pregnancy","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","4146627","307632004","Non-proteinuric hypertension of pregnancy","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","37169699","16740451000119109","Postpartum hemolysis-elevated liver enzymes-low platelet count syndrome","Disorder","Standard","07/30/2023","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertensionPostpartum pregnancy-induced hypertension'"">3"
"","35622939","765182005","Postpartum pre-eclampsia","Disorder","Standard","07/30/2018","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertension'"">2"
"","45757788","40521000119100","Postpartum pregnancy-induced hypertension","Disorder","Standard","07/30/2014","12/30/2099","651","651","570","570","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","439393","398254007","Pre-eclampsia","Disorder","Standard","07/30/2003","12/30/2099","13,909","20,883","5,253","9,383","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4283352","67359005","Pre-eclampsia added to pre-existing hypertension","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertension'"">2"
"","141084","198997005","Pre-eclampsia or eclampsia with pre-existing hypertension","Disorder","Standard","01/30/2002","12/30/2099","2,453","2,453","1,325","1,325","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","4062550","199003007","Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","44784483","698638005","Pregnancy induced hypertension with pulmonary edema","Disorder","Standard","01/30/2014","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","4167493","48194001","Pregnancy-induced hypertension","Disorder","Standard","01/30/2002","12/30/2099","26,468","49,235","7,933","18,673","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","433536","46764007","Severe pre-eclampsia","Disorder","Standard","01/30/2002","12/30/2099","6,176","6,892","3,681","4,052","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertension'"">2"
"","4057976","198986005","Severe pre-eclampsia with postnatal complication","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsiaPregnancy-induced hypertension'"">2"
"","441922","237279007","Transient hypertension of pregnancy","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
"","4062906","198968007","Transient hypertension of pregnancy with postnatal complication","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pregnancy-induced hypertension'"">1"
