"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","44782718","153931000119109","Acute combined systolic and diastolic heart failure","Disorder","Standard","01/30/2014","12/30/2099","2,526","20,638","1,240","8,481","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4023479","10633002","Acute congestive heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","1,513","0","669","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","312927","49584005","Acute cor pulmonale","Disorder","Standard","01/30/2002","12/30/2099","4,578","6,910","1,354","1,849","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","608954","15964661000119102","Acute cor pulmonale due to septic pulmonary embolism","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","40481042","443343001","Acute diastolic heart failure","Disorder","Standard","01/30/2010","12/30/2099","9,373","73,276","4,534","25,355","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","44782655","698296002","Acute exacerbation of chronic congestive heart failure","Disorder","Standard","01/30/2014","12/30/2099","0","1,513","0","669","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","442310","56675007","Acute heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","132,823","0","44,409","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","764877","7421000175106","Acute heart failure co-occurrent with normal ejection fraction","Disorder","Standard","08/31/2016","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","36716182","722095005","Acute kidney injury due to circulatory failure","Disorder","Standard","01/30/2017","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4108245","195114002","Acute left ventricular failure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4327205","74960003","Acute left-sided congestive heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4267800","364006","Acute left-sided heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","44782733","153951000119103","Acute on chronic combined systolic and diastolic heart failure","Disorder","Standard","01/30/2014","12/30/2099","18,112","18,112","7,241","7,241","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","40481043","443344007","Acute on chronic diastolic heart failure","Disorder","Standard","01/30/2010","12/30/2099","43,265","61,377","12,340","19,581","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","764874","7401000175100","Acute on chronic heart failure co-occurrent with normal ejection fraction","Disorder","Standard","08/31/2016","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","37309625","16838951000119100","Acute on chronic right-sided congestive heart failure","Disorder","Standard","01/30/2020","12/30/2099","1,513","1,513","669","669","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","40480602","443253003","Acute on chronic systolic heart failure","Disorder","Standard","01/30/2010","12/30/2099","38,534","56,646","11,018","18,259","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4215446","80479009","Acute right-sided congestive heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4233424","359617009","Acute right-sided heart failure","Disorder","Standard","01/30/2002","12/30/2099","590","590","309","309","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","40480603","443254009","Acute systolic heart failure","Disorder","Standard","01/30/2010","12/30/2099","12,000","71,172","5,209","24,708","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4193236","78862003","Ayerza's syndrome","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","439698","194767001","Benign hypertensive heart disease with congestive cardiac failure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4030258","13839000","Bernheim's syndrome","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4242669","92506005","Biventricular congestive heart failure","Disorder","Standard","01/30/2002","12/30/2099","5,842","5,842","2,276","2,276","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4215802","71892000","Cardiac asthma","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4205558","55565007","Cardiac failure after obstetrical surgery AND/OR other procedure including delivery","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4177493","5053004","Cardiac insufficiency due to prosthesis","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4233224","89819002","Cardiac insufficiency during AND/OR resulting from a procedure","Disorder","Standard","01/30/2002","12/30/2099","100","671","95","377","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4264636","60856006","Cardiac insufficiency following cardiac surgery","Disorder","Standard","01/30/2002","12/30/2099","571","571","282","282","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","40482857","445236007","Cardiorenal syndrome","Disorder","Standard","07/30/2010","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4259490","410431009","Cardiorespiratory failure","Disorder","Standard","07/30/2004","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4093993","24841007","Cardiorespiratory failure during AND/OR resulting from a procedure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","44782719","153941000119100","Chronic combined systolic and diastolic heart failure","Disorder","Standard","01/30/2014","12/30/2099","20,159","38,271","5,073","12,314","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4229440","88805009","Chronic congestive heart failure","Disorder","Standard","01/30/2002","12/30/2099","120,691","122,204","18,546","19,215","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4195892","79955004","Chronic cor pulmonale","Disorder","Standard","01/30/2002","12/30/2099","1,350","1,350","526","526","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","40479576","441530006","Chronic diastolic heart failure","Disorder","Standard","07/30/2009","12/30/2099","107,994","189,530","20,346","45,000","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","444031","48447003","Chronic heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","474,850","0","94,942","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","764876","7411000175102","Chronic heart failure co-occurrent with normal ejection fraction","Disorder","Standard","08/31/2016","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4206009","5375005","Chronic left-sided congestive heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4009047","111283005","Chronic left-sided heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4284562","66989003","Chronic right-sided congestive heart failure","Disorder","Standard","01/30/2002","12/30/2099","0","1,513","0","669","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","4014159","10335000","Chronic right-sided heart failure","Disorder","Standard","01/30/2002","12/30/2099","2,541","5,404","637","1,832","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
"","40479192","441481004","Chronic systolic heart failure","Disorder","Standard","07/30/2009","12/30/2099","120,691","197,496","18,546","41,878","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Heart failure'"">1"
