"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","4321756","9859006","Acanthosis nigricans due to type 2 diabetes mellitus","Disorder","Standard","01/30/2002","12/30/2099","428","428","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitus'"">1"
"","36717156","721284006","Acidosis due to type 2 diabetes mellitus","Disorder","Standard","01/30/2017","12/30/2099","200","3,992,940","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitus'"">1"
"","4105173","193350004","Advanced maculopathy due to diabetes mellitus","Disorder","Standard","01/30/2002","12/30/2099","6,014","6,014","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","4209538","311782002","Advanced retinal disease due to diabetes mellitus","Disorder","Standard","01/30/2002","12/30/2099","4,868","4,868","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","43531588","791000119109","Angina associated with type 2 diabetes mellitus","Disorder","Standard","07/30/2013","12/30/2099","322","322","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitus'"">1"
"","45769888","87441000119104","Ankle ulcer due to type 2 diabetes mellitus","Disorder","Standard","01/30/2015","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitus'"">1"
"","37311453","792926007","Armanni-Ebstein kidney due to diabetes mellitus","Disorder","Standard","01/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of kidney due to diabetes mellitus'"">1"
"","4196141","314903002","Arthropathy due to type 2 diabetes mellitus","Disorder","Standard","01/30/2002","12/30/2099","403,350","403,650","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitus'"">1"
"","37016768","712883005","Autonomic neuropathy due to type 2 diabetes mellitus","Disorder","Standard","01/30/2016","12/30/2099","2,959,096","2,966,413","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of nervous system due to type 2 diabetes mellitusDisorder due to type 2 diabetes mellitus'"">2"
"","35625724","768799003","Bilateral iritis due to diabetes mellitus","Disorder","Standard","07/30/2018","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","609098","16745411000119104","Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","609103","16745931000119102","Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 2","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitusDisorder of eye due to diabetes mellitus'"">2"
"","603320","16697521000119104","Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","609106","16746341000119103","Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 2","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitusDisorder of eye due to diabetes mellitus'"">2"
"","609114","16747661000119109","Bilateral nonproliferative retinopathy due to diabetes mellitus type 2","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitusDisorder of eye due to diabetes mellitus'"">2"
"","609107","16746661000119106","Bilateral nonproliferative retinopathy of eyes due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","609117","16748141000119100","Bilateral proliferative retinopathy due to diabetes mellitus type 2","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitusDisorder of eye due to diabetes mellitus'"">2"
"","609120","16749781000119101","Bilateral proliferative retinopathy of eyes due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","609111","16747101000119101","Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 1","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","602345","16747021000119109","Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 2","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitusDisorder of eye due to diabetes mellitus'"">2"
"","45763582","60951000119105","Blindness due to type 2 diabetes mellitus","Disorder","Standard","01/30/2015","12/30/2099","201","201","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitus'"">1"
"","376979","43959009","Cataract due to diabetes mellitus","Disorder","Standard","01/30/2002","12/30/2099","445,467","1,699,915","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","4225656","421920002","Cataract due to diabetes mellitus type 1","Disorder","Standard","07/30/2006","12/30/2099","45,183","45,183","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","4221495","420756003","Cataract due to diabetes mellitus type 2","Disorder","Standard","07/30/2006","12/30/2099","1,209,265","1,209,265","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder due to type 2 diabetes mellitusDisorder of eye due to diabetes mellitus'"">2"
"","609308","368151000119108","Cataract due to drug induced diabetes mellitus","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","35625718","768793002","Cataract of left eye due to diabetes mellitus","Disorder","Standard","07/30/2018","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","35625717","768792007","Cataract of right eye due to diabetes mellitus","Disorder","Standard","07/30/2018","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","3656194","871778008","Centrally involved macular edema due to diabetes mellitus","Disorder","Standard","07/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of eye due to diabetes mellitus'"">1"
"","45773688","96441000119101","Chronic kidney disease due to type 1 diabetes mellitus","Disorder","Standard","01/30/2015","12/30/2099","555","2,600","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of kidney due to diabetes mellitus'"">1"
"","43531578","771000119108","Chronic kidney disease due to type 2 diabetes mellitus","Disorder","Standard","07/30/2013","12/30/2099","41,578,843","41,618,478","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of kidney due to diabetes mellitusDisorder due to type 2 diabetes mellitus'"">2"
"","601161","368421000119108","Chronic kidney disease stage 1 due to drug induced diabetes mellitus","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of kidney due to diabetes mellitus'"">1"
"","45773576","90721000119101","Chronic kidney disease stage 1 due to type 1 diabetes mellitus","Disorder","Standard","01/30/2015","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of kidney due to diabetes mellitus'"">1"
"","43531559","751000119104","Chronic kidney disease stage 1 due to type 2 diabetes mellitus","Disorder","Standard","07/30/2013","12/30/2099","1,406","1,406","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of kidney due to diabetes mellitusDisorder due to type 2 diabetes mellitus'"">2"
