"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","37163023","1204155000","Acute anterior non-ST segment elevation myocardial infarction","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","37163022","1204154001","Acute anterior non-ST segment elevation myocardial infarction with right ventricular involvement","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","45766075","703164000","Acute anterior ST segment elevation myocardial infarction","Disorder","Standard","07/30/2014","12/30/2099","1,482","1,582","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4178129","52035003","Acute anteroapical myocardial infarction","Disorder","Standard","01/30/2002","12/30/2099","1,335","1,335","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4267568","62695002","Acute anteroseptal myocardial infarction","Disorder","Standard","01/30/2002","12/30/2099","1,624","1,924","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","37163020","1204152002","Acute inferior non-ST segment elevation myocardial infarction","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","37163019","1204151009","Acute inferior non-ST segment elevation myocardial infarction of right ventricle","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","312327","57054005","Acute myocardial infarction","Disorder","Standard","01/30/2002","12/30/2099","15,914,816","67,150,389","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","44782769","17531000119105","Acute myocardial infarction due to left coronary artery occlusion","Disorder","Standard","01/30/2014","12/30/2099","225","325","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","604425","896689003","Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery","Disorder","Standard","01/30/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","44782712","23311000119105","Acute myocardial infarction due to right coronary artery occlusion","Disorder","Standard","01/30/2014","12/30/2099","200","558,549","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","45766115","703212004","Acute myocardial infarction during procedure","Disorder","Standard","07/30/2014","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","434376","54329005","Acute myocardial infarction of anterior wall","Disorder","Standard","01/30/2002","12/30/2099","2,775,914","2,777,596","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","45766150","703252002","Acute myocardial infarction of anterior wall involving right ventricle","Disorder","Standard","07/30/2014","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","438438","70211005","Acute myocardial infarction of anterolateral wall","Disorder","Standard","01/30/2002","12/30/2099","1,371,747","1,372,147","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","3654466","836294006","Acute myocardial infarction of apex of heart","Disorder","Standard","07/30/2020","12/30/2099","0","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4243372","59063002","Acute myocardial infarction of apical-lateral wall","Disorder","Standard","01/30/2002","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4108669","194809007","Acute myocardial infarction of atrium","Disorder","Standard","01/30/2002","12/30/2099","932","932","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4151046","282006","Acute myocardial infarction of basal-lateral wall","Disorder","Standard","01/30/2002","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4275436","64627002","Acute myocardial infarction of high lateral wall","Disorder","Standard","01/30/2002","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","438170","73795002","Acute myocardial infarction of inferior wall","Disorder","Standard","01/30/2002","12/30/2099","3,086,312","3,088,445","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","45771322","703251009","Acute myocardial infarction of inferior wall involving right ventricle","Disorder","Standard","07/30/2014","12/30/2099","100","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","438447","65547006","Acute myocardial infarction of inferolateral wall","Disorder","Standard","01/30/2002","12/30/2099","544,172","544,372","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","3654467","836295007","Acute myocardial infarction of inferolateral wall with posterior extension","Disorder","Standard","07/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","441579","76593002","Acute myocardial infarction of inferoposterior wall","Disorder","Standard","01/30/2002","12/30/2099","354,660","354,660","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","436706","58612006","Acute myocardial infarction of lateral wall","Disorder","Standard","01/30/2002","12/30/2099","317,623","318,123","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4324413","70998009","Acute myocardial infarction of posterobasal wall","Disorder","Standard","01/30/2002","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
"","4051874","15990001","Acute myocardial infarction of posterolateral wall","Disorder","Standard","01/30/2002","12/30/2099","417","417","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myocardial infarction'"">1"
