"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","2001516","36.17","Abdominal-coronary artery bypass","4-dig billing code","Standard","12/31/1969","12/30/2099","3,100","3,100","800","800","Procedure","ICD9Proc","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Operative procedure on coronary artery'"">1"
"","37163023","1204155000","Acute anterior non-ST segment elevation myocardial infarction","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","37163022","1204154001","Acute anterior non-ST segment elevation myocardial infarction with right ventricular involvement","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","45766075","703164000","Acute anterior ST segment elevation myocardial infarction","Disorder","Standard","07/30/2014","12/30/2099","2,450","2,470","680","700","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","4178129","52035003","Acute anteroapical myocardial infarction","Disorder","Standard","01/30/2002","12/30/2099","90","90","40","40","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","4267568","62695002","Acute anteroseptal myocardial infarction","Disorder","Standard","01/30/2002","12/30/2099","1,550","1,620","140","160","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","44784623","78741000119103","Acute coronary artery occlusion not resulting in myocardial infarction","Disorder","Standard","01/30/2014","12/30/2099","510,890","510,890","178,800","178,800","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary occlusion'"">1"
"","4108670","194823009","Acute coronary insufficiency","Disorder","Standard","01/30/2002","12/30/2099","1,680","1,680","300","300","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Angina pectoris'"">1"
"","4215140","394659003","Acute coronary syndrome","Disorder","Standard","01/30/2003","12/30/2099","26,790","26,790","7,540","7,540","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart disease'"">1"
"","4011131","10273003","Acute infarction of papillary muscle","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart disease'"">1"
"","37163020","1204152002","Acute inferior non-ST segment elevation myocardial infarction","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","37163019","1204151009","Acute inferior non-ST segment elevation myocardial infarction of right ventricle","Disorder","Standard","02/27/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","319844","413439005","Acute ischemic heart disease","Disorder","Standard","01/30/2005","12/30/2099","3,552,650","66,839,720","1,336,260","14,714,890","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","312327","57054005","Acute myocardial infarction","Disorder","Standard","01/30/2002","12/30/2099","9,697,280","63,259,320","2,862,100","13,370,760","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","44782769","17531000119105","Acute myocardial infarction due to left coronary artery occlusion","Disorder","Standard","01/30/2014","12/30/2099","40","139,290","20","35,660","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
"","604425","896689003","Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery","Disorder","Standard","01/30/2021","12/30/2099","0","10","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute ischemic heart diseaseMyocardial infarction'"">2"
