"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","38004232","261QM0855X","Ambulatory Adolescent and Children Mental Health Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004210","261QA0600X","Ambulatory Adult Day Care Center / Clinic","Visit","Standard","12/31/1969","12/30/2099","10,086,610","10,086,610","46,900","46,900","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004231","261QM0850X","Ambulatory Adult Mental Health Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004211","261QA0900X","Ambulatory Amputee Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004213","261QA3000X","Ambulatory Augmentative Communication Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004256","261QR0404X","Ambulatory Cardiac Rehabilitation Facility","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004207","261Q00000X","Ambulatory Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","46,675,250","6,370","100,126,800","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004216","261QC1500X","Ambulatory Community Health Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004217","261QC1800X","Ambulatory Corporate Health Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004215","261QC0050X","Ambulatory Critical Access Hospital","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004218","261QD0000X","Ambulatory Dental Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004219","261QD1600X","Ambulatory Developmental Disabilities Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004220","261QE0002X","Ambulatory Emergency Care Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004222","261QE0800X","Ambulatory Endoscopy Cinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004208","261QA0005X","Ambulatory Family Planning Facility","Visit","Standard","12/31/1969","12/30/2099","14,913,920","14,913,920","867,390","867,390","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004243","261QP0904X","Ambulatory Federal Public Health Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004209","261QA0006X","Ambulatory Fertility Facility","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004225","261QG0250X","Ambulatory Genetics Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","434,080","434,080","267,900","267,900","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004226","261QH0100X","Ambulatory Health Service Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004227","261QH0700X","Ambulatory Hearing and Speech Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004228","261QI0500X","Ambulatory Infusion Therapy Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","360","360","48,730","48,730","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004229","261QL0400X","Ambulatory Lithotripsy Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","705159","OMOP5160862","Ambulatory long COVID clinic","Visit","Standard","12/14/2021","12/30/2099","0","0","0","0","Visit","Visit","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004238","261QM1200X","Ambulatory Magnetic Resonance Imaging (MRI) Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
"","38004251","261QR0206X","Ambulatory Mammography Clinic / Center","Visit","Standard","12/31/1969","12/30/2099","0","0","0","0","Visit","NUCC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Outpatient Visit'"">1"
