"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","4138327","426107000","Acute lacunar infarction","Disorder","Standard","07/30/2007","12/30/2099","1,908","1,908","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","4048784","230707007","Anterior cerebral circulation hemorrhagic infarction","Disorder","Standard","01/30/2002","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","4045735","230693009","Anterior cerebral circulation infarction","Disorder","Standard","01/30/2002","12/30/2099","391","791","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","4031045","14309005","Anterior choroidal artery syndrome","Disorder","Standard","01/30/2002","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","37155661","293671000119109","Behavioral disturbance due to multi-infarct dementia","Disorder","Standard","04/29/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","761110","151161000119102","Bilateral cerebral infarction due to precererbral arterial occlusion","Disorder","Standard","08/31/2016","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","372924","20059004","Cerebral artery occlusion","Disorder","Standard","01/30/2002","12/30/2099","2,546,055","3,096,845","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3188164","256101000004107","Cerebral cortical infarction","Clinical Finding","Standard","08/14/2019","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","375557","75543006","Cerebral embolism","Disorder","Standard","01/30/2002","12/30/2099","390,097","441,001","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","376713","274100004","Cerebral hemorrhage","Disorder","Standard","01/30/2002","12/30/2099","6,468,019","23,768,830","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3184775","8300001000004103","Cerebral infarct complicating carotid stenosis","Clinical Finding","Standard","01/27/2016","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral artery occlusionCerebral infarction'"">2"
"","4110189","195185009","Cerebral infarct due to thrombosis of precerebral arteries","Disorder","Standard","01/30/2002","12/30/2099","750,124","750,124","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","443454","432504007","Cerebral infarction","Disorder","Standard","07/30/2008","12/30/2099","40,269,397","91,918,180","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","762951","434151000124101","Cerebral infarction due to anterior cerebral artery occlusion","Disorder","Standard","02/28/2013","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","765515","434991000124105","Cerebral infarction due to basilar artery stenosis","Disorder","Standard","08/31/2013","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","43530683","149821000119103","Cerebral infarction due to carotid artery occlusion","Disorder","Standard","07/30/2013","12/30/2099","1,616","1,716","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","762933","433891000124100","Cerebral infarction due to cerebral artery occlusion","Disorder","Standard","02/28/2013","12/30/2099","100","300","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","762937","433961000124100","Cerebral infarction due to cerebral venous thrombosis","Disorder","Standard","02/28/2013","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","4111714","195230003","Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","Disorder","Standard","01/30/2002","12/30/2099","58,632","58,632","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","4108356","195190007","Cerebral infarction due to embolism of cerebral arteries","Disorder","Standard","01/30/2002","12/30/2099","4,934,609","4,934,609","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","45772786","705128004","Cerebral infarction due to embolism of middle cerebral artery","Disorder","Standard","01/30/2015","12/30/2099","1,385,733","1,385,733","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","4110190","195186005","Cerebral infarction due to embolism of precerebral arteries","Disorder","Standard","01/30/2002","12/30/2099","533,878","533,878","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","762935","433931000124109","Cerebral infarction due to internal carotid artery occlusion","Disorder","Standard","02/28/2013","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","763015","434961000124102","Cerebral infarction due to middle cerebral artery occlusion","Disorder","Standard","08/31/2013","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","46273649","34181000119102","Cerebral infarction due to occlusion of basilar artery","Disorder","Standard","07/30/2015","12/30/2099","313,147","313,147","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","35610084","1089411000000104","Cerebral infarction due to occlusion of cerebral artery","Disorder","Standard","03/31/2018","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
"","46270031","125081000119106","Cerebral infarction due to occlusion of precerebral artery","Disorder","Standard","07/30/2015","12/30/2099","205,000","518,447","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral infarction'"">1"
