"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","4119951","233844002","Accelerated coronary artery disease in transplanted heart","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","36712984","15960381000119109","Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft","Disorder","Standard","01/30/2017","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","36712983","15960141000119102","Angina co-occurrent and due to coronary arteriosclerosis","Disorder","Standard","01/30/2017","12/30/2099","72,612","86,809","17,184","22,864","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","40483189","442421004","Arteriosclerosis of arterial coronary artery bypass graft","Disorder","Standard","07/30/2009","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","43021857","285141000119106","Arteriosclerosis of autologous arterial coronary artery bypass graft","Disorder","Standard","01/30/2013","12/30/2099","494","494","160","160","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","761735","15960781000119108","Arteriosclerosis of autologous arterial coronary artery bypass graft with angina","Disorder","Standard","08/31/2017","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","43021858","285151000119108","Arteriosclerosis of autologous coronary artery bypass graft","Disorder","Standard","01/30/2013","12/30/2099","0","1,330","0","528","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","40482638","442224005","Arteriosclerosis of autologous vein coronary artery bypass graft","Disorder","Standard","07/30/2009","12/30/2099","817","817","367","367","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","35615052","15960581000119102","Arteriosclerosis of autologous vein coronary artery bypass graft with angina","Disorder","Standard","07/30/2018","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","443563","429673002","Arteriosclerosis of coronary artery bypass graft","Disorder","Standard","01/30/2008","12/30/2099","20,877","22,393","4,717","5,337","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","40481132","444855007","Arteriosclerosis of coronary artery bypass graft of transplanted heart","Disorder","Standard","07/30/2010","12/30/2099","145","145","69","69","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","40481133","444856008","Arteriosclerosis of internal mammary artery coronary artery bypass graft","Disorder","Standard","07/30/2010","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","37167978","1269257006","Arteriosclerosis of nonautologous biological coronary artery bypass graft","Disorder","Standard","06/29/2023","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","40482655","442240008","Arteriosclerosis of nonautologous coronary artery bypass graft","Disorder","Standard","07/30/2009","12/30/2099","41","41","23","23","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","4199962","315348000","Asymptomatic coronary heart disease","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","37110242","724431008","Atherosclerosis of autologous coronary artery bypass graft","Disorder","Standard","07/30/2017","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","764123","451041000124103","Atherosclerosis of coronary artery without angina pectoris","Disorder","Standard","08/31/2016","12/30/2099","718,376","718,376","120,951","120,951","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","37118984","723862008","Atherosclerosis of non-autologous coronary artery bypass graft","Disorder","Standard","07/30/2017","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","4242670","92517006","Calcific coronary arteriosclerosis","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","4178321","42866003","Congenital coronary artery sclerosis","Disorder","Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Coronary arteriosclerosis'"">1"
"","317576","53741008","Coronary arteriosclerosis","Disorder","Standard","01/30/2002","12/30/2099","0","860,507","0","157,973","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
