"","concept_id_1","concept_id_2","relationship_id","valid_start_date.x","valid_end_date.x","invalid_reason.x","icd_code","icd_name","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date.y","valid_end_date.y","invalid_reason.y"
"1",1326491,443734,"Maps to",20180826,20991231,NA,"E11.1","Type 2 diabetes mellitus with ketoacidosis","Ketoacidosis due to type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","421750000",20060731,20991231,NA
"2",1326491,201826,"Maps to",20190109,20991231,NA,"E11.1","Type 2 diabetes mellitus with ketoacidosis","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"3",1567940,201254,"Maps to",19700101,20991231,NA,"E10","Type 1 diabetes mellitus","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"4",1567941,439770,"Maps to",19700101,20991231,NA,"E10.1","Type 1 diabetes mellitus with ketoacidosis","Ketoacidosis due to type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","420270002",20060731,20991231,NA
"5",1567942,200687,"Maps to",19700101,20991231,NA,"E10.2","Type 1 diabetes mellitus with kidney complications","Renal disorder due to type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","421893009",20060731,20991231,NA
"6",1567943,42538169,"Maps to",20180101,20991231,NA,"E10.3","Type 1 diabetes mellitus with ophthalmic complications","Disorder of eye due to type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","739681000",20180131,20991231,NA
"7",1567949,377821,"Maps to",19700101,20991231,NA,"E10.4","Type 1 diabetes mellitus with neurological complications","Disorder of nervous system due to type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","421468001",20060731,20991231,NA
"8",1567950,318712,"Maps to",19700101,20991231,NA,"E10.5","Type 1 diabetes mellitus with circulatory complications","Peripheral circulatory disorder due to type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","421365002",20060731,20991231,NA
"9",1567956,201826,"Maps to",19700101,20991231,NA,"E11","Type 2 diabetes mellitus","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"10",1567957,201826,"Maps to",20171001,20991231,NA,"E11.0","Type 2 diabetes mellitus with hyperosmolarity","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"11",1567958,443731,"Maps to",19700101,20991231,NA,"E11.2","Type 2 diabetes mellitus with kidney complications","Renal disorder due to type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","420279001",20060731,20991231,NA
"12",1567959,443733,"Maps to",19700101,20991231,NA,"E11.3","Type 2 diabetes mellitus with ophthalmic complications","Disorder of eye due to type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","422099009",20060731,20991231,NA
"13",1567965,376065,"Maps to",19700101,20991231,NA,"E11.4","Type 2 diabetes mellitus with neurological complications","Disorder of nervous system due to type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","421326000",20060731,20991231,NA
"14",1567966,443729,"Maps to",19700101,20991231,NA,"E11.5","Type 2 diabetes mellitus with circulatory complications","Peripheral circulatory disorder due to type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","422166005",20060731,20991231,NA
"15",1567972,201820,"Maps to",19700101,20991231,NA,"E13","Other specified diabetes mellitus","Diabetes mellitus","Condition","SNOMED","Disorder","S","73211009",20020131,20991231,NA
"16",1567974,443727,"Maps to",19700101,20991231,NA,"E13.1","Other specified diabetes mellitus with ketoacidosis","Diabetic ketoacidosis","Condition","SNOMED","Disorder","S","420422005",20060731,20991231,NA
"17",1567975,192279,"Maps to",19700101,20991231,NA,"E13.2","Other specified diabetes mellitus with kidney complications","Disorder of kidney due to diabetes mellitus","Condition","SNOMED","Disorder","S","127013003",20020131,20991231,NA
"18",1567976,443767,"Maps to",19700101,20991231,NA,"E13.3","Other specified diabetes mellitus with ophthalmic complications","Disorder of eye due to diabetes mellitus","Condition","SNOMED","Disorder","S","25093002",20020131,20991231,NA
"19",1567983,321822,"Maps to",19700101,20991231,NA,"E13.5","Other specified diabetes mellitus with circulatory complications","Peripheral vascular disorder due to diabetes mellitus","Condition","SNOMED","Disorder","S","421895002",20060731,20991231,NA
"20",1567984,201820,"Maps to",20190109,20991231,NA,"E13.6","Other specified diabetes mellitus with other specified complications","Diabetes mellitus","Condition","SNOMED","Disorder","S","73211009",20020131,20991231,NA
