"","concept_id_1","concept_id_2","relationship_id","valid_start_date.x","valid_end_date.x","invalid_reason.x","icd_code","icd_name","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date.y","valid_end_date.y","invalid_reason.y"
"1",1569272,315558,"Maps to",20200101,20991231,NA,"I70.2","Atherosclerosis of native arteries of the extremities","Atherosclerosis of arteries of the extremities","Condition","SNOMED","Disorder","S","51274000",20020131,20991231,NA
"2",1569273,315558,"Maps to",20200101,20991231,NA,"I70.20","Unspecified atherosclerosis of native arteries of extremities","Atherosclerosis of arteries of the extremities","Condition","SNOMED","Disorder","S","51274000",20020131,20991231,NA
"3",1569274,315558,"Maps to",20200402,20991231,NA,"I70.21","Atherosclerosis of native arteries of extremities with intermittent claudication","Atherosclerosis of arteries of the extremities","Condition","SNOMED","Disorder","S","51274000",20020131,20991231,NA
"4",1569274,37312529,"Maps to",20200101,20991231,NA,"I70.21","Atherosclerosis of native arteries of extremities with intermittent claudication","Intermittent claudication due to atherosclerosis of artery of limb","Condition","SNOMED","Clinical Finding","S","792845002",20200131,20991231,NA
"5",1569320,318443,"Maps to",19700101,20991231,NA,"I70.9","Other and unspecified atherosclerosis","Arteriosclerotic vascular disease","Condition","SNOMED","Disorder","S","72092001",20020131,20991231,NA
"6",1569326,321052,"Maps to",19700101,20991231,NA,"I73.8","Other specified peripheral vascular diseases","Peripheral vascular disease","Condition","SNOMED","Disorder","S","400047006",20030731,20991231,NA
"7",35207841,312934,"Maps to",19700101,20991231,NA,"I70.0","Atherosclerosis of aorta","Atherosclerosis of aorta","Condition","SNOMED","Disorder","S","81817003",20020131,20991231,NA
"8",35207843,40479625,"Maps to",19700101,20991231,NA,"I70.8","Atherosclerosis of other arteries","Atherosclerosis of artery","Condition","SNOMED","Disorder","S","441574008",20090731,20991231,NA
"9",35207860,321052,"Maps to",19700101,20991231,NA,"I73.9","Peripheral vascular disease, unspecified","Peripheral vascular disease","Condition","SNOMED","Disorder","S","400047006",20030731,20991231,NA
"10",45581810,318443,"Maps to",19700101,20991231,NA,"I70.90","Unspecified atherosclerosis","Arteriosclerotic vascular disease","Condition","SNOMED","Disorder","S","72092001",20020131,20991231,NA
