"","concept_id_1","concept_id_2","relationship_id","valid_start_date.x","valid_end_date.x","invalid_reason.x","icd_code","icd_name","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date.y","valid_end_date.y","invalid_reason.y"
"1",1326588,312327,"Maps to",20180826,20991231,NA,"I21.9","Acute myocardial infarction, unspecified","Acute myocardial infarction","Condition","SNOMED","Disorder","S","57054005",20020131,20991231,NA
"2",1569126,312327,"Maps to",20190109,20991231,NA,"I21","Acute myocardial infarction","Acute myocardial infarction","Condition","SNOMED","Disorder","S","57054005",20020131,20991231,NA
"3",1569130,4108217,"Maps to",19700101,20991231,NA,"I22","Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction","Subsequent myocardial infarction","Condition","SNOMED","Disorder","S","194856005",20020131,20991231,NA
"4",1569132,319844,"Maps to",19700101,20991231,NA,"I24","Other acute ischemic heart diseases","Acute ischemic heart disease","Condition","SNOMED","Disorder","S","413439005",20050131,20991231,NA
"5",1569131,4176969,"Maps to",20180101,20991231,NA,"I23","Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)","Sequelae of cardiovascular disorders","Condition","SNOMED","Disorder","S","363294003",20020131,20991231,NA
"6",1569145,315286,"Maps to",19700101,20991231,NA,"I25.8","Other forms of chronic ischemic heart disease","Chronic ischemic heart disease","Condition","SNOMED","Disorder","S","413838009",20050131,20991231,NA
"7",35207685,4270024,"Maps to",19700101,20991231,NA,"I21.4","Non-ST elevation (NSTEMI) myocardial infarction","Acute non-ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","401314000",20030731,20991231,NA
"8",35207686,4108677,"Maps to",19700101,20991231,NA,"I22.0","Subsequent ST elevation (STEMI) myocardial infarction of anterior wall","Subsequent myocardial infarction of anterior wall","Condition","SNOMED","Disorder","S","194857001",20020131,20991231,NA
"9",35207687,4108218,"Maps to",19700101,20991231,NA,"I22.1","Subsequent ST elevation (STEMI) myocardial infarction of inferior wall","Subsequent myocardial infarction of inferior wall","Condition","SNOMED","Disorder","S","194858006",20020131,20991231,NA
"10",35207688,45766114,"Maps to",19700101,20991231,NA,"I22.8","Subsequent ST elevation (STEMI) myocardial infarction of other sites","Subsequent ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","703211006",20140731,20991231,NA
"11",35207690,4108678,"Maps to",19700101,20991231,NA,"I23.0","Hemopericardium as current complication following acute myocardial infarction","Hemopericardium due to and following acute myocardial infarction","Condition","SNOMED","Disorder","S","194862000",20020131,20991231,NA
"12",35207691,438172,"Maps to",19700101,20991231,NA,"I23.1","Atrial septal defect as current complication following acute myocardial infarction","Atrial septal defect due to and following acute myocardial infarction","Condition","SNOMED","Disorder","S","194863005",20020131,20991231,NA
"13",35207692,4119953,"Maps to",19700101,20991231,NA,"I23.2","Ventricular septal defect as current complication following acute myocardial infarction","Post-infarction ventricular septal defect","Condition","SNOMED","Disorder","S","233846000",20020131,20991231,NA
"14",35207693,4108679,"Maps to",19700101,20991231,NA,"I23.3","Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction","Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction","Condition","SNOMED","Disorder","S","194865003",20020131,20991231,NA
"15",35207694,4108219,"Maps to",19700101,20991231,NA,"I23.4","Rupture of chordae tendineae as current complication following acute myocardial infarction","Rupture of chordae tendinae due to and following acute myocardial infarction","Condition","SNOMED","Disorder","S","194866002",20020131,20991231,NA
"16",35207695,4108220,"Maps to",19700101,20991231,NA,"I23.5","Rupture of papillary muscle as current complication following acute myocardial infarction","Rupture of papillary muscle as current complication following acute myocardial infarction","Condition","SNOMED","Disorder","S","194867006",20020131,20991231,NA
"17",35207696,4108680,"Maps to",19700101,20991231,NA,"I23.6","Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction","Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction","Condition","SNOMED","Disorder","S","194868001",20020131,20991231,NA
"18",35207698,4108215,"Maps to",19700101,20991231,NA,"I24.0","Acute coronary thrombosis not resulting in myocardial infarction","Coronary thrombosis not resulting in myocardial infarction","Condition","SNOMED","Disorder","S","194821006",20020131,20991231,NA
"19",35207700,319844,"Maps to",19700101,20991231,NA,"I24.8","Other forms of acute ischemic heart disease","Acute ischemic heart disease","Condition","SNOMED","Disorder","S","413439005",20050131,20991231,NA
"20",35207701,319844,"Maps to",19700101,20991231,NA,"I24.9","Acute ischemic heart disease, unspecified","Acute ischemic heart disease","Condition","SNOMED","Disorder","S","413439005",20050131,20991231,NA
"21",35207702,314666,"Maps to",19700101,20991231,NA,"I25.2","Old myocardial infarction","Old myocardial infarction","Condition","SNOMED","Disorder","S","1755008",20020131,20991231,NA
"22",35207704,4110961,"Maps to",19700101,20991231,NA,"I25.5","Ischemic cardiomyopathy","Generalized ischemic myocardial dysfunction","Condition","SNOMED","Disorder","S","194849004",20020131,20991231,NA
