"","concept_id_1","concept_id_2","relationship_id","valid_start_date.x","valid_end_date.x","invalid_reason.x","icd_code","icd_name","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date.y","valid_end_date.y","invalid_reason.y"
"1",1571486,46271022,"Maps to",19700101,20991231,NA,"N18","Chronic kidney disease (CKD)","Chronic kidney disease","Condition","SNOMED","Disorder","S","709044004",20150731,20991231,NA
"2",35207671,443919,"Maps to",20190109,20991231,NA,"I12.0","Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease","Hypertensive renal failure","Condition","SNOMED","Disorder","S","49220004",20020131,20991231,NA
"3",35209274,443614,"Maps to",19700101,20991231,NA,"N18.1","Chronic kidney disease, stage 1","Chronic kidney disease stage 1","Condition","SNOMED","Disorder","S","431855005",20080731,20991231,NA
"4",35209275,443601,"Maps to",19700101,20991231,NA,"N18.2","Chronic kidney disease, stage 2 (mild)","Chronic kidney disease stage 2","Condition","SNOMED","Disorder","S","431856006",20080731,20991231,NA
"5",35209276,443597,"Maps to",19700101,20991231,NA,"N18.3","Chronic kidney disease, stage 3 (moderate)","Chronic kidney disease stage 3","Condition","SNOMED","Disorder","S","433144002",20080731,20991231,NA
"6",35209277,443612,"Maps to",19700101,20991231,NA,"N18.4","Chronic kidney disease, stage 4 (severe)","Chronic kidney disease stage 4","Condition","SNOMED","Disorder","S","431857002",20080731,20991231,NA
"7",35209278,443611,"Maps to",19700101,20991231,NA,"N18.5","Chronic kidney disease, stage 5","Chronic kidney disease stage 5","Condition","SNOMED","Disorder","S","433146000",20080731,20991231,NA
"8",35209279,46271022,"Maps to",19700101,20991231,NA,"N18.9","Chronic kidney disease, unspecified","Chronic kidney disease","Condition","SNOMED","Disorder","S","709044004",20150731,20991231,NA
"9",1569123,44784621,"Maps to",19700101,20991231,NA,"I13.1","Hypertensive heart and chronic kidney disease without heart failure","Hypertensive heart and chronic kidney disease","Condition","SNOMED","Disorder","S","8501000119104",20140131,20991231,NA
"10",44830172,46271022,"Maps to",20160204,20991231,NA,"585","Chronic kidney disease (CKD)","Chronic kidney disease","Condition","SNOMED","Disorder","S","709044004",20150731,20991231,NA
"11",35207674,439694,"Maps to",19700101,20991231,NA,"I13.2","Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","Condition","SNOMED","Disorder","S","194781004",20020131,20991231,NA
